Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:24:25     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:       2   12,24    0,00    3,06    0,00    0,00    0,00    0,00    0,00    0,00   84,69
Average:       3    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00  100,00
Average:       4    5,21    0,00    2,08    0,00    0,00    0,00    0,00    0,00    0,00   92,71
Average:       5   13,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   87,00
Average:       6    9,28    0,00    2,06    1,03    0,00    0,00    0,00    0,00    0,00   87,63
Average:       7    2,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
Average:       8    7,00    0,00    3,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
Average:       9    2,02    0,00    2,02    0,00    0,00    1,01    0,00    0,00    0,00   94,95
Average:      10    4,04    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   94,95
Average:      11    6,06    0,00    9,09    0,00    0,00    0,00    0,00    0,00    0,00   84,85
Average:      12    2,02    0,00    2,02    0,00    0,00    0,00    0,00    0,00    0,00   95,96
Average:      13    3,03    0,00    1,01    0,00    0,00    0,00    0,00    0,00    0,00   95,96
Average:      14    1,00    0,00    1,00    1,00    0,00    0,00    0,00    0,00    0,00   97,00
Average:      15    1,01    0,00    1,01    1,01    0,00    0,00    0,00    0,00    0,00   96,97
Linux 6.8.0-45-lowlatency (ntb-hp) 	25/09/2024 	_x86_64_	(16 CPU)

10:45:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:45:06     all    6,30    0,00    3,02    0,76    0,00    0,06    0,00    0,00    0,00   89,86
10:45:06       0    6,25    0,00    4,17    0,00    0,00    0,00    0,00    0,00    0,00   89,58
10:45:06       1    1,01    0,00    0,00    0,00    0,00    0,00    0,00    0,00    0,00   98,99
10:45:06       2   10,10    0,00    3,03    2,02    0,00    0,00    0,00    0,00    0,00   84,85
10:45:06       3    1,98    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   97,03
10:45:06       4   12,63    0,00    3,16    2,11    0,00    0,00    0,00    0,00    0,00   82,11
10:45:06       5    2,97    0,00    0,99    0,00    0,00    0,00    0,00    0,00    0,00   96,04
10:45:06       6   22,22    0,00    5,05    0,00    0,00    0,00    0,00    0,00    0,00   72,73
10:45:06       7    1,00    0,00    1,00    0,00    0,00    0,00    0,00    0,00    0,00   98,00
10:45:06       8   10,20    0,00   10,20    0,00    0,00    0,00    0,00    0,00    0,00   79,59
10:45:06       9   10,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   86,00
10:45:06      10    8,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   88,00
10:45:06      11    6,00    0,00    4,00    0,00    0,00    0,00    0,00    0,00    0,00   90,00
10:45:06      12    2,04    0,00    2,04    5,10    0,00    1,02    0,00    0,00    0,00   89,80
10:45:06      13    2,00    0,00    2,00    1,00    0,00    0,00    0,00    0,00    0,00   95,00
10:45:06      14    3,00    0,00    2,00    0,00    0,00    0,00    0,00    0,00    0,00   95,00
10:45:06      15    1,98    0,00    1,98    1,98    0,00    0,00    0,00    0,00    0,00   94,06

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all    6,30    0,00    3,02    0,76    0,00    0,06    0,00    0,00    0,00   89,86
Average:       0    6,25    0,00    4,17    0,00    0,00    0,00    0,00    0,00    0,00   89,58
